Participant,Gender,Leg,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16,EMG17,EMG18,EMG19,EMG20,EMG21,EMG22,EMG23,EMG24,EMG25,EMG26,EMG27,EMG28,EMG29,EMG30,EMG31,EMG32,EMG33,EMG34,EMG35,EMG36,EMG37,EMG38,EMG39,EMG40,EMG41,EMG42,EMG43,EMG44,EMG45,EMG46,EMG47,EMG48,EMG49,EMG50,EMG51,EMG52,EMG53,EMG54,EMG55,EMG56,EMG57,EMG58,EMG59,EMG60,EMG61,EMG62,EMG63,EMG64
P03,Male,Right,-0.2666015625,-2.182373046875,-0.048828125,-83.5975609756098,17.9878048780488,32.3170731707317,-1051,-1333,-1153,-1343,-1504,-640,-1058,-1116,-295,-903,-636,305,-100,-14,1076,1683,606,1250,2543,622,1412,11,1098,1166,-19,946,-252,266,608,5,323,429,572,-99,133,276,375,525,56,256,319,383,289,325,300,466,-1407,-729,-1597,-983,-713,-972,-297,-881,-886,-1305,-427,-1226,-76,-922,-1191,-1598,-464,-1905
P03,Male,Right,-0.271484375,-2.186767578125,-0.045654296875,-84.2073170731707,17.8658536585366,32.4390243902439,-557,-1171,-576,-996,-1254,-261,-658,-646,2,-329,88,493,281,920,655,2488,286,1161,2920,435,1820,24,1121,1381,155,737,-179,311,638,64,373,584,914,-59,209,395,611,868,126,370,553,718,528,640,687,787,-192,98,-484,-109,-108,-308,-106,-270,-465,-850,-119,-932,247,-339,-878,-1069,63,-1299
P03,Male,Right,-0.271484375,-2.186767578125,-0.045654296875,-84.8780487804878,17.6829268292683,32.5,-413,-1385,-432,-901,-1233,-181,-632,-597,-158,-198,229,341,362,1212,250,2761,-69,604,2824,252,1842,84,1122,1521,302,661,-17,415,731,205,506,802,1249,83,360,573,881,1183,274,544,803,1031,770,918,1044,839,597,301,43,558,-120,-13,-394,-439,-823,-467,-332,-1082,201,-290,-991,-626,224,-839
P03,Male,Right,-0.270263671875,-2.19189453125,-0.043212890625,-85.609756097561,17.4390243902439,32.5609756097561,-742,-1817,-761,-1114,-1388,-367,-872,-962,-452,-442,-80,170,220,942,296,2579,-67,353,2505,403,1945,299,1206,1612,467,665,151,503,801,332,586,864,1299,217,485,652,950,1218,401,642,884,1094,849,987,1127,692,940,121,101,869,-490,-70,-892,-969,-1589,-507,-802,-1734,-174,-716,-1535,-502,-31,-837
P03,Male,Right,-0.270263671875,-2.19189453125,-0.043212890625,-86.0365853658537,17.3170731707317,32.5609756097561,-1069,-1955,-1116,-1355,-1339,-645,-1049,-1241,-656,-634,-98,1,54,786,480,1605,173,150,1613,555,1583,514,1086,1254,546,581,228,492,701,368,545,719,1069,280,493,590,800,978,445,609,791,921,788,869,953,394,1026,-92,-34,940,-685,-191,-1044,-1073,-1721,-643,-984,-1971,-453,-985,-1833,-539,-274,-948
P04,Male,Right,0.064697265625,-1.746826171875,-0.65283203125,-113.658536585366,-6.70731707317073,-21.280487804878,-441,311,-1249,-533,-449,-1872,-1761,-1376,-1960,-2065,-1431,-2149,-2818,-2355,-1300,-1908,0,-1369,-1831,-904,-1385,-594,-1126,-1385,-663,-1175,-568,-1021,-1141,-868,-1078,-1165,-1141,0,-839,-1070,-1036,-906,-785,-942,-957,-926,-774,-762,-625,588,974,1063,1175,648,641,998,464,662,1245,1159,228,1242,-241,123,636,902,-551,506
P04,Male,Right,0.05615234375,-1.745849609375,-0.65673828125,-113.841463414634,-7.19512195121951,-21.280487804878,-623,195,-1490,-778,-621,-2161,-2099,-1765,-2321,-2596,-2005,-2484,-3274,-3233,-1452,-2239,0,-1554,-2288,-903,-1678,-489,-1220,-1728,-659,-1319,-521,-1110,-1399,-917,-1243,-1440,-1500,0,-950,-1288,-1331,-1283,-862,-1116,-1217,-1279,-1003,-1079,-1007,549,1023,1087,1297,607,570,1131,345,654,1380,1232,123,1394,-395,38,712,1139,-714,549
P04,Male,Right,0.05615234375,-1.745849609375,-0.65673828125,-113.90243902439,-7.4390243902439,-21.280487804878,-972,-105,-1853,-1153,-967,-2569,-2556,-2254,-2844,-3217,-2657,-2969,-3939,-4057,-1676,-2683,0,-1755,-2761,-936,-1917,-427,-1287,-1970,-669,-1403,-490,-1164,-1539,-947,-1336,-1591,-1709,0,-1012,-1409,-1511,-1527,-916,-1235,-1445,-1521,-1220,-1369,-1377,401,968,1077,1361,575,501,1285,237,690,1549,1388,85,1550,-523,46,792,1373,-866,547
P04,Male,Right,0.048095703125,-1.7451171875,-0.66015625,-113.963414634146,-7.5609756097561,-21.280487804878,-1526,-714,-2406,-1761,-1685,-3141,-3185,-2967,-3566,-4041,-3580,-3685,-4897,-5019,-2162,-3415,0,-2159,-3390,-1160,-2303,-582,-1500,-2283,-795,-1572,-604,-1309,-1735,-1064,-1501,-1796,-1939,0,-1190,-1622,-1770,-1841,-1094,-1470,-1739,-1840,-1569,-1784,-1841,-191,391,543,889,133,-23,1004,-209,230,1236,1166,-347,1259,-985,-426,302,999,-1382,-34
P04,Male,Right,0.048095703125,-1.7451171875,-0.66015625,-114.085365853659,-7.74390243902439,-21.3414634146341,-1984,-1307,-2859,-2280,-2427,-3578,-3691,-3593,-4165,-4719,-4453,-4235,-5630,-5736,-2546,-3945,0,-2434,-3779,-1286,-2475,-704,-1560,-2398,-837,-1594,-673,-1381,-1809,-1119,-1572,-1878,-2041,0,-1283,-1741,-1909,-1995,-1202,-1625,-1922,-2040,-1819,-2101,-2158,-984,-482,-295,78,-551,-743,459,-739,-530,622,692,-936,708,-1492,-1129,-546,386,-1957,-804
P05,Male,Right,0.09033203125,-1.868408203125,-0.55517578125,-25.7926829268293,17.8658536585366,-16.3414634146341,567,484,652,394,546,792,273,499,349,209,880,419,378,854,541,1013,424,1253,1473,1179,1499,1528,1776,1581,2425,2086,2304,1612,1604,1052,964,876,785,578,772,732,684,749,549,628,684,667,594,601,658,365,714,388,865,525,112,948,500,308,830,381,624,726,933,578,737,783,782,768
P05,Male,Right,0.0830078125,-1.86328125,-0.5537109375,-25.7926829268293,17.8658536585366,-16.3414634146341,1200,1196,1398,1163,1188,1404,980,1274,929,1020,1495,941,949,1472,1095,1548,811,1879,2131,1755,2361,1407,2451,2529,2662,3124,2284,2203,2556,1395,1632,1529,1019,833,1176,1216,1054,874,845,997,1014,894,893,842,853,782,1247,1018,1689,886,742,1746,900,796,1572,954,831,1356,1373,1038,1179,1251,1319,1236
P05,Male,Right,0.0830078125,-1.86328125,-0.5537109375,-25.7317073170732,17.9268292682927,-16.280487804878,1874,1682,2143,1899,1635,1989,1792,1900,1596,1819,1993,1543,1736,2226,1755,2209,1227,2518,2860,2034,3152,1253,2773,3214,2484,3640,2262,2415,3240,1626,2064,2218,1604,1070,1490,1666,1572,1265,1095,1341,1413,1292,1215,1197,1164,848,1536,1203,1995,1010,1025,1919,908,1276,1923,1152,987,1624,1559,1557,1609,1594,1648,1611
P05,Male,Right,0.0751953125,-1.858154296875,-0.5517578125,-25.7317073170732,17.9878048780488,-16.3414634146341,1930,1527,2243,2006,1640,2019,2051,2033,1839,2115,2082,1684,1994,2394,1814,2223,1216,2415,2836,1741,2809,920,2230,2629,2017,2940,2038,2057,2948,1572,1944,2226,1792,1082,1467,1655,1664,1405,1115,1348,1461,1383,1253,1244,1212,522,955,595,1165,644,502,945,347,885,1179,794,878,1169,1058,1432,1612,1573,1676,1592
P05,Male,Right,0.0751953125,-1.858154296875,-0.5517578125,-25.7926829268293,18.109756097561,-16.3414634146341,1456,1027,1880,1641,1387,1749,1860,1730,1727,1902,1745,1607,1880,2073,1705,1983,1110,2142,2518,1540,2407,832,1963,2158,1836,2400,1828,1759,2281,1395,1610,1746,1551,970,1257,1348,1373,1195,965,1115,1224,1154,1037,1044,1008,191,155,28,29,230,-140,-251,-126,127,-35,430,717,526,642,857,1225,1247,1456,1329
P06,Female,Right,-0.106689453125,-1.745361328125,-1.44580078125,300.0,-122.19512195122,-91.219512195122,156,202,75,123,363,49,47,225,98,151,321,7,80,306,-158,-1,-191,-123,-43,-165,-106,-202,-88,-120,-114,-75,-143,-135,-27,-138,-91,-92,-21,-137,-56,-67,-10,-35,-74,-25,64,15,-71,4,147,172,13,0,104,171,35,344,144,98,126,278,288,334,282,392,389,461,343,463
P06,Female,Right,-0.097900390625,-1.759765625,-1.442138671875,300.30487804878,-121.341463414634,-91.5243902439024,164,200,107,128,337,112,53,212,123,122,299,86,25,272,-43,42,-73,-29,-1,-42,-46,-67,-6,-58,-18,-5,-25,-37,45,-28,3,-3,52,-5,44,11,70,34,30,69,123,77,9,69,209,278,140,116,197,273,247,446,284,303,253,378,401,441,335,451,463,499,368,455
P06,Female,Right,-0.097900390625,-1.759765625,-1.442138671875,300.548780487805,-120.487804878049,-91.7682926829268,-38,23,-63,-57,137,-28,-142,22,-54,-98,82,-15,-213,38,-128,-105,-144,-127,-163,-115,-179,-129,-119,-199,-116,-127,-95,-138,-71,-117,-105,-119,-77,-81,-49,-110,-49,-90,-52,-38,6,-39,-113,-52,78,193,-49,38,35,-15,217,249,205,291,148,156,294,295,194,331,326,306,222,255
P06,Female,Right,-0.088623046875,-1.775146484375,-1.43701171875,300.792682926829,-119.69512195122,-91.9512195121951,-134,-63,-186,-137,37,-120,-239,-66,-144,-226,-30,-60,-327,-132,-118,-157,-137,-128,-204,-94,-198,-105,-110,-233,-102,-150,-80,-155,-105,-119,-116,-153,-124,-85,-59,-133,-82,-130,-63,-71,-24,-78,-143,-87,22,102,-185,-74,-81,-236,139,103,106,196,41,-34,205,159,96,225,207,138,113,109
P06,Female,Right,-0.088623046875,-1.775146484375,-1.43701171875,300.975609756098,-118.90243902439,-92.0731707317073,-178,-137,-267,-196,-66,-207,-312,-157,-216,-368,-157,-87,-423,-322,-79,-168,-95,-90,-230,-68,-193,-75,-93,-245,-83,-159,-79,-148,-114,-120,-128,-172,-157,-89,-60,-164,-112,-163,-69,-86,-62,-120,-169,-126,-8,26,-182,-151,-101,-237,50,103,0,121,16,-73,103,130,-22,122,143,54,18,14
P07,Female,Right,0.045654296875,-2.49462890625,-0.5986328125,-66.4634146341463,-27.3780487804878,33.5365853658537,-3054,-3287,-2703,-3583,-4585,-2198,-3313,-4792,-2558,-4605,-6245,-728,-2816,-4878,787,109,780,894,41,1125,695,918,679,137,511,138,387,-7,-375,128,-270,-675,-1220,37,-330,-705,-998,-1373,-198,-615,-1053,-1366,-1255,-1425,-1390,-2522,-4786,-2952,-3704,-4056,-1746,-3380,-1168,-1901,-2834,-3798,-1329,-3135,-1316,-1561,-2074,-4190,-1982,-2653
P07,Female,Right,0.045654296875,-2.49462890625,-0.5986328125,-66.1585365853659,-25.4268292682927,33.3536585365854,-4966,-5445,-4108,-5475,-6722,-2899,-4571,-6318,-2957,-5396,-6776,-138,-2732,-5011,1025,112,557,762,-240,778,363,486,270,-247,126,-260,45,-391,-767,-191,-606,-1045,-1619,-221,-627,-1045,-1361,-1760,-442,-910,-1371,-1732,-1541,-1756,-1762,-2783,-6589,-3807,-5338,-6367,-2340,-5516,-1581,-3034,-4647,-6209,-2181,-5119,-2027,-2839,-3827,-6480,-3118,-4680
P07,Female,Right,0.043212890625,-2.46630859375,-0.590087890625,-65.9146341463415,-23.5975609756098,33.109756097561,-6167,-6951,-4870,-6527,-8028,-3197,-5088,-6868,-2962,-5238,-6176,324,-2283,-4162,1046,74,196,499,-425,323,43,-29,-140,-498,-327,-588,-380,-736,-992,-523,-880,-1233,-1741,-525,-889,-1241,-1495,-1828,-694,-1110,-1495,-1813,-1637,-1844,-1827,-2364,-7473,-3799,-6034,-7991,-2195,-6922,-1412,-3408,-5750,-8002,-2408,-6480,-2245,-3496,-4893,-8100,-3695,-6062
P07,Female,Right,0.043212890625,-2.46630859375,-0.590087890625,-65.7317073170732,-21.7682926829268,32.9268292682927,-6399,-7462,-4825,-6532,-8297,-3042,-4754,-6331,-2529,-4160,-4513,753,-1435,-2393,1006,210,-125,278,-356,-108,-140,-539,-438,-578,-748,-795,-813,-966,-1048,-821,-1023,-1230,-1588,-822,-1052,-1268,-1416,-1601,-871,-1165,-1419,-1625,-1537,-1684,-1605,-1267,-6891,-2737,-5219,-7981,-1222,-6730,-636,-2731,-5433,-8365,-1910,-6570,-1901,-3301,-4841,-8583,-3591,-6499
P07,Female,Right,0.04296875,-2.436767578125,-0.58203125,-65.6707317073171,-19.9390243902439,32.7439024390244,-5250,-6413,-3704,-5149,-7105,-2169,-3374,-4600,-1549,-2362,-2208,1305,-291,-284,829,419,-505,52,-206,-532,-313,-1001,-722,-628,-1118,-970,-1187,-1160,-1089,-1084,-1135,-1185,-1358,-1067,-1186,-1261,-1283,-1342,-1026,-1204,-1302,-1387,-1426,-1529,-1339,-195,-5660,-1407,-3698,-6874,-60,-5446,392,-1534,-4153,-7423,-960,-5611,-1116,-2484,-3965,-8016,-2897,-6285
P08,Female,Right,-0.4736328125,-1.96435546875,-0.34326171875,-64.2073170731707,26.1585365853659,2.01219512195122,792,584,779,591,346,828,613,350,688,486,-59,628,447,750,-526,354,-309,-26,-427,-460,495,316,327,189,414,384,510,551,426,651,608,536,447,766,760,716,663,567,905,1008,926,806,1274,1190,915,-1306,-157,-893,-1494,745,-1501,-451,-1032,-927,-559,1310,343,891,1251,1615,1473,2527,1274,1316
P08,Female,Right,-0.458251953125,-1.9599609375,-0.342041015625,-64.5121951219512,26.5853658536585,1.89024390243902,798,596,733,565,356,687,524,342,523,404,4,302,281,689,-818,373,-1581,488,-474,-286,559,218,373,265,368,384,473,536,419,599,579,510,399,714,720,673,642,541,857,987,907,784,1279,1218,912,-1271,907,-283,-588,1745,-962,585,-561,220,468,2023,1483,1624,1892,2167,1973,3166,1590,1945
P08,Female,Right,-0.458251953125,-1.9599609375,-0.342041015625,-64.6951219512195,27.0731707317073,1.76829268292683,814,618,722,584,421,619,512,393,472,428,153,192,318,677,-484,594,-1735,1216,-384,156,599,309,477,290,409,391,497,566,418,570,562,481,365,678,685,643,611,496,826,935,851,728,1216,1146,857,-474,2186,367,855,2542,-215,1654,136,906,859,2397,1949,1701,1950,2262,2215,3557,1643,2405
P08,Female,Right,-0.4423828125,-1.95654296875,-0.339599609375,-64.8170731707317,27.6219512195122,1.64634146341463,865,631,757,619,510,612,586,489,490,594,386,13,526,876,-151,478,-1068,1562,-206,603,616,438,605,294,494,450,538,606,447,568,565,483,351,640,655,639,582,469,796,877,797,674,1118,1046,776,344,2970,832,1974,2929,396,2268,913,1257,1088,2598,1949,1735,1704,2134,2289,3734,1587,2688
P08,Female,Right,-0.4423828125,-1.95654296875,-0.339599609375,-64.6951219512195,27.8658536585366,1.52439024390244,859,543,766,586,515,595,626,527,491,730,592,-136,616,1103,-184,17,-243,1379,-59,725,503,467,637,219,501,458,518,588,470,536,548,484,358,598,624,637,552,454,749,829,753,642,1037,960,705,519,3169,1158,2555,2901,762,2445,1258,1427,1432,2570,1812,2006,1500,2011,2300,3750,1509,2830
P09,Female,Right,-0.276611328125,-1.94775390625,0.1103515625,-78.719512195122,2.92682926829268,-6.40243902439024,-459,-525,-379,-478,-544,-242,-424,-638,-338,-660,-581,-18,-478,-880,176,-245,217,88,-361,120,-123,141,-38,-152,27,-51,80,-22,-104,-4,-82,-93,-158,2,-52,-111,-158,-156,-97,-58,-128,-177,-146,-145,-203,-675,-679,-808,-886,-857,-857,-1009,-841,-1142,-1283,-985,-1047,-1124,-910,-1285,-1299,-734,-1032,-617
P09,Female,Right,-0.276611328125,-1.94775390625,0.1103515625,-79.0853658536585,3.10975609756098,-6.52439024390244,-350,-528,-219,-441,-589,-103,-313,-648,-217,-585,-593,85,-337,-781,279,-125,242,191,-192,181,0,168,63,-15,95,52,122,62,20,60,20,27,-28,50,42,7,-24,-34,-17,57,-10,-42,-29,-19,-85,-336,-534,-489,-668,-771,-527,-848,-540,-861,-1070,-1008,-803,-1027,-672,-1070,-1134,-870,-813,-636
P09,Female,Right,-0.2734375,-1.946044921875,0.11083984375,-79.390243902439,3.29268292682927,-6.52439024390244,9,-232,128,-125,-359,164,64,-392,97,-237,-444,275,-22,-445,350,60,222,258,39,184,103,134,117,114,92,126,94,88,100,70,86,120,79,27,73,74,70,64,-4,113,72,59,58,65,1,-86,-339,-186,-407,-612,-166,-587,-204,-395,-684,-809,-327,-705,-237,-515,-694,-739,-287,-452
P09,Female,Right,-0.2734375,-1.946044921875,0.11083984375,-79.6951219512195,3.41463414634146,-6.46341463414634,272,-3,363,117,-178,348,313,-193,297,-7,-346,351,141,-189,311,123,136,220,159,106,122,61,101,153,62,139,42,69,118,42,87,147,104,9,67,80,96,84,-15,121,95,86,96,104,40,151,20,138,15,-276,159,-120,26,104,-112,-356,119,-180,130,60,-169,-396,175,-172
P09,Female,Right,-0.26953125,-1.944091796875,0.11181640625,-80.1219512195122,3.59756097560976,-6.52439024390244,287,24,383,117,-161,345,278,-216,245,-77,-380,234,7,-203,142,-25,22,60,93,8,21,-18,31,90,18,88,0,35,88,19,58,120,87,1,53,80,99,86,-9,128,106,98,116,136,82,300,285,325,298,15,305,204,131,332,288,-5,323,200,250,336,165,-71,386,64
P10,Female,Right,-0.118408203125,-1.969970703125,-0.041748046875,-64.1463414634146,19.5731707317073,-3.35365853658537,149,30,291,141,283,140,-300,-244,348,295,251,443,346,274,454,449,168,437,413,438,430,355,496,475,404,466,479,481,455,324,433,368,-987,-55,85,304,321,357,365,369,444,404,54,475,394,683,949,23,-66,-108,106,-64,501,46,386,95,435,-59,180,124,-27,-77,129,-105
P10,Female,Right,-0.118408203125,-1.969970703125,-0.041748046875,-64.1463414634146,19.6951219512195,-3.47560975609756,188,49,342,200,348,180,-268,-243,379,322,274,482,370,296,500,471,232,472,419,479,442,387,519,455,418,470,497,482,428,331,422,344,-977,-92,32,257,292,321,360,351,421,370,27,468,375,770,1119,115,29,-92,24,28,296,14,473,147,295,21,25,70,9,-29,86,-40
P10,Female,Right,-0.117431640625,-1.9677734375,-0.0400390625,-64.1463414634146,19.8170731707317,-3.53658536585366,233,96,379,260,421,312,-236,-235,421,372,338,522,414,352,553,511,301,538,467,552,502,434,585,510,463,525,540,539,488,389,462,396,-795,-77,78,306,365,414,417,409,498,458,70,556,463,894,1411,256,144,-13,72,143,317,23,567,276,278,146,74,11,38,99,104,65
P10,Female,Right,-0.117431640625,-1.9677734375,-0.0400390625,-64.2073170731707,20.0,-3.53658536585366,231,94,371,256,386,362,-209,-261,429,378,334,548,429,372,601,553,342,601,507,605,543,480,651,579,515,586,574,593,559,437,522,459,-578,-49,135,360,418,462,455,464,550,507,110,605,500,904,1387,287,111,-65,73,144,356,-1,548,270,257,173,46,-42,-27,137,77,102
P10,Female,Right,-0.116455078125,-1.9658203125,-0.038818359375,-64.2682926829268,20.2439024390244,-3.59756097560976,267,137,412,306,425,428,-125,-230,499,456,417,619,508,463,689,631,405,675,575,674,594,546,715,654,585,668,646,676,653,520,623,556,-328,27,236,453,519,547,518,544,638,576,182,677,550,875,1269,307,65,-192,70,121,358,28,624,246,242,274,-5,35,71,159,116,179
