Participant,Gender,Leg,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16,EMG17,EMG18,EMG19,EMG20,EMG21,EMG22,EMG23,EMG24,EMG25,EMG26,EMG27,EMG28,EMG29,EMG30,EMG31,EMG32,EMG33,EMG34,EMG35,EMG36,EMG37,EMG38,EMG39,EMG40,EMG41,EMG42,EMG43,EMG44,EMG45,EMG46,EMG47,EMG48,EMG49,EMG50,EMG51,EMG52,EMG53,EMG54,EMG55,EMG56,EMG57,EMG58,EMG59,EMG60,EMG61,EMG62,EMG63,EMG64
P01,Male,Right,-0.1259765625,-1.90576171875,-0.125244140625,-59.2682926829268,-5.91463414634146,11.219512195122,-261,-298,0,-323,-375,-299,-306,-401,-352,-438,-516,-498,-410,-495,-491,-658,-149,-503,-720,-373,-503,-383,-474,-491,-295,-492,-361,-429,-507,-397,-444,-448,-391,-334,-344,-395,-374,-391,-329,-385,-331,-330,-298,-144,-221,-956,-758,-1138,-987,-883,-1151,-1049,-1096,-1662,-1288,-930,-1688,-1976,-1686,-2205,-2062,-1060,-1808,-1587
P01,Male,Right,-0.1259765625,-1.90576171875,-0.125244140625,-59.3292682926829,-5.30487804878049,11.219512195122,-139,-191,0,-225,-271,-230,-217,-306,-288,-360,-434,-462,-361,-435,-494,-635,-111,-481,-715,-341,-499,-336,-449,-486,-279,-490,-336,-403,-490,-375,-428,-452,-422,-315,-331,-385,-387,-412,-324,-373,-344,-344,-293,-149,-235,-790,-522,-927,-729,-620,-923,-690,-854,-1332,-891,-478,-1349,-1579,-1351,-1647,-1715,-823,-1272,-1488
P01,Male,Right,-0.120361328125,-1.9091796875,-0.12353515625,-59.5121951219512,-4.69512195121951,11.1585365853659,-43,-88,0,-141,-183,-203,-161,-230,-257,-301,-354,-473,-335,-396,-555,-676,-87,-483,-742,-318,-491,-294,-430,-454,-251,-460,-328,-380,-453,-372,-412,-448,-446,-318,-331,-396,-403,-443,-335,-378,-347,-368,-304,-164,-256,-658,-370,-735,-545,-486,-689,-504,-615,-987,-630,-312,-934,-1310,-955,-1060,-1340,-641,-654,-1297
P01,Male,Right,-0.120361328125,-1.9091796875,-0.12353515625,-59.6341463414634,-4.20731707317073,11.0975609756098,21,-21,0,-72,-127,-188,-123,-178,-249,-267,-307,-511,-330,-405,-630,-736,-77,-501,-785,-326,-467,-252,-426,-416,-216,-407,-305,-345,-390,-348,-386,-426,-476,-318,-312,-382,-403,-488,-325,-372,-350,-378,-283,-148,-268,-526,-207,-579,-412,-405,-528,-427,-451,-743,-491,-285,-628,-1124,-652,-632,-1032,-473,-203,-1011
P01,Male,Right,-0.115966796875,-1.912841796875,-0.122314453125,-59.7560975609756,-3.71951219512195,11.0975609756098,35,-5,0,-57,-102,-191,-130,-168,-281,-280,-334,-563,-379,-458,-724,-826,-37,-539,-832,-298,-442,-175,-353,-398,-133,-333,-258,-279,-329,-300,-337,-395,-496,-274,-269,-355,-401,-512,-266,-329,-364,-410,-297,-178,-304,-475,-100,-510,-294,-316,-442,-331,-375,-621,-402,-265,-504,-981,-541,-414,-802,-326,-51,-755
P02,Male,Right,-0.108154296875,-2.157958984375,-0.23974609375,-37.0121951219512,29.4512195121951,16.5853658536585,-888,-1292,-817,-1233,-1597,-871,-1149,-1655,-1087,-1566,-1945,-965,-1578,-1775,-1921,-2136,340,-2791,-2374,-1474,-2118,-31,-2119,-2382,-1638,-2619,-1222,-2253,-2644,-1891,-2255,-1938,-1744,-1162,-1663,-1803,-1657,-1488,-1229,-1528,-1516,-1486,-1347,-1371,-1345,-764,-1494,-986,-1265,-1373,-802,-1005,-755,-834,-943,-671,-829,-383,-910,-615,-413,-101,-647,-358
P02,Male,Right,-0.108154296875,-2.157958984375,-0.23974609375,-36.7682926829268,29.9390243902439,16.4634146341463,-996,-1480,-942,-1413,-1793,-997,-1333,-1853,-1255,-1777,-2143,-1185,-1792,-2060,-2459,-2569,-211,-3024,-3064,-2071,-2320,-211,-2361,-2610,-1663,-2678,-1339,-2168,-2570,-1752,-2207,-1977,-1881,-1180,-1572,-1808,-1755,-1591,-1223,-1521,-1554,-1578,-1350,-1426,-1427,-843,-1536,-1058,-1345,-1374,-884,-996,-836,-894,-924,-591,-939,-295,-1046,-733,-331,125,-757,-282
P02,Male,Right,-0.124755859375,-2.152587890625,-0.237060546875,-36.6463414634146,30.3658536585366,16.4024390243902,-1026,-1494,-1009,-1462,-1768,-1039,-1389,-1856,-1330,-1847,-2148,-1282,-1926,-2204,-2709,-3328,-827,-3437,-3981,-2631,-2658,-700,-2703,-2890,-1944,-2765,-1724,-2199,-2316,-1730,-2069,-1870,-1910,-1267,-1509,-1749,-1794,-1659,-1242,-1501,-1551,-1630,-1347,-1442,-1475,-813,-1473,-1002,-1317,-1293,-905,-939,-883,-972,-892,-487,-1090,-227,-1126,-900,-287,214,-803,-288
P02,Male,Right,-0.124755859375,-2.152587890625,-0.237060546875,-36.5243902439024,30.7317073170732,16.3414634146341,-873,-1266,-901,-1247,-1488,-911,-1187,-1562,-1174,-1607,-1806,-1188,-1798,-1980,-2457,-3864,-1266,-3551,-5109,-2607,-3018,-1228,-2817,-2910,-2096,-2506,-2082,-1906,-1700,-1570,-1601,-1474,-1697,-1292,-1291,-1459,-1590,-1562,-1159,-1320,-1356,-1513,-1207,-1327,-1378,-754,-1291,-895,-1145,-1162,-890,-797,-877,-992,-830,-362,-1136,-179,-1074,-883,-263,109,-782,-310
P02,Male,Right,-0.141357421875,-2.146484375,-0.23388671875,-36.280487804878,31.219512195122,16.219512195122,-563,-879,-650,-851,-1034,-676,-808,-1086,-854,-1147,-1275,-950,-1404,-1473,-1887,-3614,-1454,-3090,-5063,-2324,-2811,-1726,-2659,-2334,-2008,-1799,-2140,-1312,-835,-1240,-911,-920,-1317,-1162,-943,-997,-1206,-1261,-959,-1001,-1013,-1212,-917,-1033,-1093,-729,-925,-805,-739,-777,-869,-460,-815,-894,-629,-155,-1016,-103,-935,-695,-201,184,-679,-121
